,title,cleaned
30,24 Hours to Live,An assassin seeks redemption after being given a second chance at life.
31,25 Kille,Four brothers receive news of an inheritance and must contend with an unscrupulous landowner to receive their birthright.
32,26 Years,"26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a shooter from the national team, a gang member, a policeman, CEO from a large company and director of a private security outfit get involved in a plan to convict the person responsible for the massacre."
33,2 States,"A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle."
34,300 Miles to Heaven,"Based on a true story dating back to 1985 when two Polish boys, a teenager and his little brother, escaped from communist Poland all the way to Sweden, hidden under a truck. In the movie, their destination has been changed to Denmark."
35,3022,A group of astronauts living in the haunting emptiness of deep space awakens to find earth has suffered an extinction-level event.
36,30 Days of Luxury,"With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub."
37,365 Days,"Laura, in order to save her relationship from falling apart, goes to Sicily, where she meets Massimo. A dangerous man, the head of a mafia family, kidnaps her and gives her 365 days to fall in love with him."
38,37 Seconds,"In 37 Seconds, 23-year-old comic book artist Yuma, physically disabled due to profound cerebral palsy and emotionally stunted by her well-meaning but overly protective mother, forges her own unusual path to sexual awakening and independence while at the same time discovering love and forgiveness."
39,3 Generations,"A teenager transitions from female to male, and his family must come to terms with that fact."
40,3 Heroines,"Indonesia 1988. The world prepares for the 24th Olympics in Seoul. Indonesian archery is in a critical point. It needs a coach who can prepare women archery team in a short time. The only thing that can be relied upon to is Donald Pandiangan (Reza Rahardian), but Donald had long disappeared. In 1980 while trying to follow the Moscow Olympics, he was canceled for political reasons. Now he lives far from archery. Besides the coach, the team must also be filled from the three best female athletes. They are Nurfitriyana (Bunga Citra Lestari), Lilies (Chelsea Islan) and Kusuma (Tara Basro)."
41,3 Idiots,"In the tradition of “Ferris Bueller’s Day Off” comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all."
42,3 Seconds Divorce,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights."
43,3 Türken und ein Baby,"The Yildiz brothers - Celal, Sami and Mesut - still live under one roof - despite their differences. The family bridal shop is doing really badly and they each yearn for a different life: Heartthrob Celal pines for his ex-girlfriend Anna and risks every last cent of their family inheritance for his dream of a mobile phone shop. Sami is searching for true love but ruins every blind date with his anger mis-management. And Mesut, the youngest of the three, tries to combine a cool music career with his strict adherence to the Koran. So when a sweet little baby comes careering into their lives, nothing is as it was before. The three young Turkish bachelors are given a crash course in responsibility."
44,40 Days and 40 Nights,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life."
45,47 Meters Down,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface."
46,48 Christmas Wishes,"Holiday magic has never gleamed brighter as Santa’s Elves head out on an adventure to bring every boy and girl their Christmas wish while also bringing a family back together in this heartfelt Christmas movie from Gaumont. After accidentally destroying a bag of Christmas wishes from a small town on the eve of Christmas Eve, two junior elves learn that if even one wish goes unfulfilled, Christmas could be extinguished forever. For the first time in their lives, the elves Mindy and Cam venture out of the North Pole and sneak into Minnedoza to collect the lost wishes. Along the way they enlist the help of young Blake, whose family has a difficult time celebrating Christmas since his father died. With their deadline fast approaching, Mindy and Cam have only one more wish to find…but whose could it be? It’s up to Mindy and Cam to find out and save Christmas!"
47,4 latas,"To find Joseba, a dying friend, and see him reunite with his daughter Ely, two old friends, Jean Pierre and Tocho, embark with her on a road trip through the Sahara desert, from Spain to Mali."
48,4th Republic,"The story follows Ikechukwu Obiano, a young idealistic deputy campaign manager for industrialist Mabel King, who is competing against incumbent Governor Idris Sani in her bid to become the"
49,5 cm,"Five close friends have been together since high school. They have stuck together throughout the years. One fateful day, they decided to take a three-month break and not communicate with each other in any shape or form. Their lives immediately took on different courses, with each pursuing their own dreams while holding on to the memories of their close friendship. When the agreed-upon break was up, the five met up with great enthusiasm, deciding to celebrate the event by going on a challenging and dream-filled adventure. A meaningful journey to raise the national flag on the highest peak of Java on August 17th, Indonesia's Independence Day. A journey filled with struggles that deepened their love for Indonesia. A journey for the sake of dreams, friendship and love, a journey of the heart that would forever transform their lives."
50,5 Cowok Jagoan,Yanto ask his friends to help him save his girlfriend that been kidnapped by a group of professional mobster.
51,5 Flights Up,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.
52,5Gang: A different kind of Christmas,An old musician remembers his Christmas adventures from when he was a child.
53,5 Star Christmas,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal."
54,6-5=2,Six friends plan for a trek to an undisclosed mountain in the Western Ghats.
55,68 Kill,"Chip's problem is that he can't say no to beautiful women. This weakness gets him into a world of trouble when he agrees to help his girlfriend steal $68,000."
56,6 Balloons,"Over the course of one night, a woman drives across LA with her heroin addict brother in search of a detox center, with his two-year-old daughter in tow."
57,6 Days,"London, England, April 1980. Six terrorists assault the Embassy of Iran and take hostages. For six days, tense negotiations are held while the authorities decide whether a military squad should intervene."
58,6 Underground,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
59,6 Years,"A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined."
60,706,"Dr.Suman Asthana is a doctor, whose husband Anil Asthana is missing since last 11 days and investigating officer DCP Shekhawat is unable to find him. A psychic child patient revels the whereabouts of Dr.Anil and opens the doors of secrets."
61,7:19,"At 7:19 a.m., on September 19th of 1985, the most destructive earthquake hit Mexico's City. Inside what's left of a building, a group of survivors fight for their lives waiting for rescue."
62,7 Años,The drama is centered around four friends and business partners who in one evening are forced to find a way to save their company and themselves. The impossible decision they face is agreeing on who will be the one to sacrifice their freedom to save the others from personal and financial demise. It is a race against time that will put their friendship and sanity to the test. Who will take the fall?
63,7 Din Mohabbat In,"The story follows a young man on a quest to find his true love in a crowded Karachi neighbourhood. He must overcome the obstacles, both spiritual and physical, to achieve his goals."
64,7 Khoon Maaf,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously."
65,89,"89 tells the incredible story of one of football’s greatest triumphs: when against all odds Arsenal snatched the Championship title from Liverpool at Anfield in the last minute of the last game of the 1988/89 season. It’s a universal tale of a band of brothers who, led by a charismatic and deeply respected manager, came together to defy the odds and create history."
66,9,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good."
67,90 ML,"Thamara, Paru, Kajal and Suganya are four friends who are rather tired of their uneventful routine. However, things take a turn for the better with the arrival of the spirited and outgoing Rita, a young woman who encourages them to live their lives to the fullest."
68,93 Days,"Bimbo Akintola, Danny Glover and TIFF Rising Star Somkele Iyamah-Idhalama star in director Steve Gukas’ riveting real-life thriller about courageous health-care workers in Lagos battling the Ebola outbreak of 2014."
69,A 3 Minute Hug,"As daylight breaks between the border cities of El Paso, Texas, and Juarez, Mexico, undocumented migrants and their relatives, divided by a wall, prepare to participate in an activist event. For three minutes, they’ll embrace in no man’s land for the briefest and sweetest of reunions."
70,Aadu 2,"Aadu 2 revolves around Shaji Pappan and his group of misfits, who take part in another tug-of-war contest to win the golden cup. But along the way they unwittingly get drawn into a deal gone wrong, which involves dangerous smugglers."
71,Aagey Se Right,"Aage Se Right is the story of chance, co-incidence and real life humor based in the present day Mumbai. The film spans over five days of panic, chaos and mayhem!!!"
72,Aakhri Adaalat,Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.
73,Aalorukkam,"Pappu Pisharadi, an ageing man, is constant hunt for his son, who left him 16 years back, which is when he is brought to a hospital where he meets Dr. Seetha Priyan, who promise to help him find his son."
74,Aamir,A doctor of Indian origin returning to Mumbai from London is forced to participate in a terrorist plot.
75,Aarakshan,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.
76,Aashayein,"The story revolves around Rahul Singh (John Abraham), a compulsive gambler who wins Rs. 20 million from a bet and throws a party to celebrate. Everyone has a good time drinking and partying till late night during which Rahul proposes to Nafisa (Sonal Sehgal). He announces their engagement to all present, then collapses on the floor. In hospital, he learns that he has only 90 days to live. Wanting to make the most of his last days, he leaves everything behind and moves into a soothing hospice. The inmates he meets change his outlook on life. As his relationships grow with each one of them, Rahul tries to rise above his own needs and live life to the fullest, learning from the courage of those around him."
77,Aashik Aawara,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths."
78,Aaviri,"A thriller film directed by Ravi Babu, starring Ravi Babu and Neha Chauhan in the lead roles."
79,A Bad Moms Christmas,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers."
80,Abandoned,When their yacht capsizes during a storm; four men face almost certain death.
81,ABCD,"When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle."
82,ABCD 2,"Childhood friends Suresh and Vinnie want to become successful dancers. To fulfill their dreams, they form a dance group with their friends and compete in a hip-hop contest in Las Vegas."
83,Abducted in Plain Sight,The stranger-than-fiction true story of the Broberg family and the abduction of their eldest daughter.
84,"Abdullah, The Final Witness","Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.Abdullah,"
85,Abdu Mouta,"Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime."
86,A Beautiful Life,"Fang Zhen Dong (Liu Ye) is a patrolling officer in Beijing who one night meets the drunk Li Pei Ru (Shu Qi) while singing karaoke at the KTV place. Li Pei Ru is a real estate agent from Hong Kong who has vowed to make her fortune in the cosmoplitan Beijing, but is caught up in the complexities of life and ends up becoming a mistress of a married man."
87,A Billion Colour Story,"In a world rapidly being torn asunder by violence, racism and suspicion, there is a growing despondence and a feeling that almost all of humanity is at cross purposes, and most of it at war..."
88,Abominable Christmas,"Despite repeated warnings about humans from their father, the Abominable Snowman, two Abominable Snowkids find themselves in a sleepy Colorado mountain town after being chased out of their hideaway by a scientist determined to capture them."
89,About Time,"The night after another unsatisfactory New Year party, Tim's father tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life – so he decides to make his world a better place... by getting a girlfriend. Sadly, that turns out not to be as easy as he thinks."
90,Abzurdah,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
91,Accident,"A self-styled accident choreographer, the Brain is a professional hitman who kills his victims by trapping them in well crafted accidents that look like unfortunate mishaps. When the team's next assignment goes disastrously wrong, Brain begins to suspect that someone else has planned an ‘accident’ on them."
92,Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!"
93,A Champion Heart,A lonely teenage girl finds faith and healing though a relationship with a wounded horse.
94,A Christmas Prince,"When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?"
95,A Christmas Prince: The Royal Baby,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must help her family and kingdom by finding a missing peace treaty."
96,A Christmas Prince: The Royal Wedding,"A year after Amber helped Richard secure the crown. The two are set to tie the knot in a royal Christmas wedding — but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen, and Richard is faced with a political crisis that threatens to tarnish not only the holiday season but the future of the kingdom."
97,A Cinderella Story: Christmas Wish,"Kat is an aspiring singer-songwriter who dreams of making it big. However, her dreams are stalled by her reality: a conniving and cruel stepfamily and a demoralizing job working as a singing elf at billionaire Terrence Wintergarden’s Santa Land."
98,Across Grace Alley,A young boy struggling with his parents' divorce seeks solace in his infatuation with a captivating woman he discovers through a neighboring window.
99,Across the Line,"Out of the approximately 600 players in the National Hockey League, thirty are Black. Mattie Slaughter, a hockey phenom from the rural Black community of North Preston, wants to make it thirty-one. To reach his goal, Mattie needs to keep his nose clean and avoid trouble. Hard to do though, when you go to a school where racism taints every interaction, your older brother is a hustler and you’re crushing on a girl who’s already hooked up."
100,Action Replayy,A young man tries to revive his parents' wilting marriage in a unique manner - travel to the 1970s when their romance was budding and make it bloom. This is more complex than he expects.
101,Act of Valor,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack."
102,Acts of Vengeance,"A fast-talking lawyer transforms his body and takes a vow of silence, not to be broken until he finds out who killed his wife and daughter and has his revenge."
103,Adam Devine: Best Time of Our Lives,"Critically acclaimed comedian, Adam Devine, knows that growing up sucks and is here to tell you why. Filmed in front of a packed house at The Orpheum Theater in his hometown of Omaha, Nebraska, Devine's new Netflix comedy special will give a comedic take on the worst parts of growing up including puberty, parental judgment, and almost dying on your 21st birthday."
104,Adam: His Song Continues,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children."
105,Adam Sandler: 100% Fresh,"Adam Sandler takes his comical musical musings back out on the road, from comedy clubs to concert halls to one very unsuspecting subway station."
106,A Dangerous Woman,"Martha Horgan is a withdrawn, mentally disabled woman who lives with her aunt, Frances. One of Martha's unusual traits is that she doesn't lie, a quality that leads to her getting fired from a dry-cleaning shop thanks to the actions of the shifty Getso. Conflict seems to follow Martha, since she also becomes romantically involved with local fix-it man, Mackey, who is sleeping with Frances as well."
107,Adel Karam: Live from Beirut,Which part of a sheep is tastiest? What's so funny about funerals? A Lebanese comic answers your burning questions!
108,Adhugo,"Bunty, the little pink piglet is the apple of Chanti’s (Sathwik) eye. But what happens when this innocent little creature is embroiled with people who each have their own agenda to seek?"
109,Aditi Mittal: Things They Wouldn't Let Me Say,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings."
110,Adrishya,"ADRISHYA is an Emotional thriller which explores the intricacies of a child - Parent believe in knowing each other. A never seen Child anxiety and its evil effect that will make you emotional and cry. Twist and turns in the movie will hold your breath by a high degree of Adventure and Suspense. Debutant Director Sandeepp Chatterjee says, I was fascinated by the idea of exploring Biggest Disadvantage of a Nuclear Family."
111,Adú,Drama movie
112,Advantageous,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter, Jules, do all they can to hold on to their joy, despite the instability surfacing in their world."
113,Adventures in Public School,A socially awkward home-schooled kid forces his way into public-school against his suffocating but loving mother's wishes.
114,Aerials,"Earth is invaded by Aliens from outer space. An intermarried couple living in the city of Dubai are confined to their home due to the uncertainty of the situation. Disconnected from the world outside due to the loss of communication, they explore around their cultural differences in Science in order to understand the reason behind Aliens coming to our planet; only to find themselves caught between a series of extraterrestrial encounters at their very home."
115,A Fairly Odd Summer,"Get ready for the oddest summer yet! Timmy Turner and his fairies are going on a summer vacation to Hawaii. But, unfortunately for Timmy, something tells us this won’t be a very relaxing holiday. With all the magic in Fairy World at stake and villains like Vicky , Foop and Crocker on his tail, there’s no way he’ll be able to enjoy himself…"
116,A Fall From Grace,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work."
117,A Family Affair,"Tom, the filmmaker, receives a letter from South Africa. His long forgotten 95-year old grandmother Mariann, asks him to come and help her with her will. Tom sets off to South Africa and decides to bring his camera. This starts a journey for the filmmaker and his grandmother, looking back at her life and trying to understand his own."
118,A Family Man,"Dane Jensen is a driven, Chicago-based headhunter, working at a cut-throat job placement firm. When Dane's boss announces his retirement, he pits Dane against Lynn Vogel, Dane's equally driven but polar-opposite rival at the firm, in a battle for control over the company."
119,A Family Reunion Christmas,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.
120,A Flying Jatt,Jatt is a reluctant super hero that fights crime and protects people. He meets his match in the evil Raka who he must face off to save the day.
121,A Fortunate Man,"On his quest for happiness, Per decides to leave Jutland and an upbringing in a strict religious home. He runs from his family and his patriarch father, and sets sail towards Copenhagen to become an engineer. Parallel to his studies, he works on a visionary energy project based on wind and wave energy, a project so much ahead of its time, that professors consider him insane and far too self-confident. However, Per’s project becomes a success and he marries the beautiful Jakobe who is a part of a wealthy Jewish family. One would imagine that Per’s happiness now is made. But Per’s childhood keeps haunting him and his dogmatic family cannot accept his new life. Despite his luck and success, Per is unable to fully cut the strings to his strict religious background, and he now fears that he will repeat his father’s patriarchist behavior."
122,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life."
123,After Maria,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.
124,Aftermath,"A fatal plane crash changes the lives of Roman and Jake forever. Roman loses his wife and daughter in the accident, while Jake loses his mind—as he happens to be the air traffic controller who failed to avert the nightmare. Rage and revenge engulfs Roman and Jake finds himself swamped with guilt and regret."
125,After Porn Ends 3,After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a perfomer's life once retired.
126,After the Raid,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity."
127,A Futile and Stupid Gesture,"The National Lampoon name became globally recognized after the monumental success of Animal House—but before the glory days, it was a scrappy yet divinely subversive magazine and radio show that introduced the world to comedic geniuses like Bill Murray, Chevy Chase, John Belushi, and Gilda Radner. The driving force behind National Lampoon was Doug Kenney (Will Forte), and his truly wild and crazy story unfolds in A Futile and Stupid Gesture from Harvard to Hollywood to Caddyshack and beyond."
128,Agatha and the Truth of Murder,"In 1926, with her personal life in tatters and her writing in crisis, a young Agatha Christie decides to solve a real-life murder."
129,A Ghost Story,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away."
130,A Glimpse Inside the Mind of Charles Swan III,"Charles Swan III, a successful graphic designer, has it all: fame, money and devilish charm that have provided him with a seemingly perfect life. But when a perplexing beauty named Ivana suddenly ends their relationship, Charles is left heartbroken. With the support of his loyal intimates - Kirby, Saul, and his sister, Izzy – Charles begins a delirious journey of self-reflection to try and come to terms with a life without Ivana. ""A Glimpse Inside the Mind of Charles Swan III"" is an unconventional melodrama told in a bold and playful style."
131,Agneepath,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?"
132,A Grand Night In: The Story of Aardman,"Julie Walters tells the story of how Morph, Shaun the Sheep and that cheese-loving man Wallace and his dog Gromit first came to life."
133,A Gray State,"In 2010 David Crowley, an Iraq veteran, aspiring filmmaker and charismatic up-and-coming voice in fringe politics, began production on his film Gray State. Set in a dystopian near-future where civil liberties are trampled by an unrestrained federal government, the film’s crowd funded trailer was enthusiastically received by the burgeoning online community of libertarians, Tea Party activists and members of the nascent alt-right. In January of 2015, Crowley was found dead with his family in their suburban Minnesota home. Their shocking deaths quickly become a cause célèbre for conspiracy theorists who speculate that Crowley was assassinated by a shadowy government concerned about a film and filmmaker that was getting too close to the truth about their aims."
134,Agustín Aristarán: Soy Rada,"Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine."
135,Agyaat,"A film unit goes for a shoot deep into a forest, they settle at a place with bare minimal facilities run by a strange and quirky man called Setu."
136,A Haunted House,"A spoof of all the ""found-footage/documentary style"" films released in recent years."
137,A Haunting at Silver Falls: The Return,"Several years after a deadly struggle with her serial killer aunt, Jordan works to escape her troubled history. But when her aunt's revenge-seeking specter surfaces to join forces with a deranged convict, Jordan must return to the haunted town of Silver Falls for a final showdown with the ghosts of her past."
138,A Heavy Heart,A former East German boxing champion reduced to working as a bouncer and debt collector is forced to reflect on his life when he is diagnosed with a fatal disease.
