,title,genres,year,type,originals,description,everything
11,13th: A Conversation with Oprah Winfrey & Ava DuVernay,documentary,2017,movie,0,"In this 30-minute interview, Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.","In this 30-minute interview, Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system. documentary"
12,14 Blades,"action-and-adventure,drama,history,thriller,mystery",2010,movie,0,"Trained in clandestine combat from childhood, the Jinyiwei were masters of the 14 Blades; eight being for torture, five for killing, and the last blade reserved for suicide when a mission failed. An elite force of secret agents with a license to kill, the Jinyiwei devoted their lives and lethal prowess to the service of the Emperor alone. When the Imperial Court is taken over by evil eunuch Jia (Law Kar Ying), the best of the Jinyiwei, Qinglong (Donnie Yen) is assigned to steal a list identifying those still loyal to the Emperor. However unbeknownst to Qinglong, the Jinyiwei have fallen under the control of Jia, and during the mission Qinglong is betrayed and barely escapes with his life. Now as the most wanted man in the land, Qinglong must seek out and rally the loyalists to rise against Jia and restore the Emperor to power. In his way are the deadliest assassins in the land, his former brethren, the Jinyiwei.","Trained in clandestine combat from childhood, the Jinyiwei were masters of the 14 Blades; eight being for torture, five for killing, and the last blade reserved for suicide when a mission failed. An elite force of secret agents with a license to kill, the Jinyiwei devoted their lives and lethal prowess to the service of the Emperor alone. When the Imperial Court is taken over by evil eunuch Jia (Law Kar Ying), the best of the Jinyiwei, Qinglong (Donnie Yen) is assigned to steal a list identifying those still loyal to the Emperor. However unbeknownst to Qinglong, the Jinyiwei have fallen under the control of Jia, and during the mission Qinglong is betrayed and barely escapes with his life. Now as the most wanted man in the land, Qinglong must seek out and rally the loyalists to rise against Jia and restore the Emperor to power. In his way are the deadliest assassins in the land, his former brethren, the Jinyiwei. action-and-adventure,drama,history,thriller,mystery"
13,14 Cameras,"crime,drama,horror,thriller,mystery,musical",2018,movie,0,"When a family of four rent a beautiful house for their summer vacation, the price seems too good to be true. Unbeknownst to them, the lascivious owner has set up a series of spy cams throughout the house, documenting their most intimate moments and live streaming them to the dark web.","When a family of four rent a beautiful house for their summer vacation, the price seems too good to be true. Unbeknownst to them, the lascivious owner has set up a series of spy cams throughout the house, documenting their most intimate moments and live streaming them to the dark web. crime,drama,horror,thriller,mystery,musical"
14,14 Minutes from Earth,documentary,2016,movie,0,"At the break of dawn on October 24, 2014, 57-year old Google Executive Alan Eustace slowly rises into the air dangling below a helium balloon. This ascent is the culmination of three years of planning under an utmost secret mission which started as a scribble on a paper napkin. Eustace realized that as a private citizen you cannot merely walk into a store and buy a spacesuit. He determined that he would have to call upon the brightest minds in the country to pioneer a new technological invention in order to make his dream come true.","At the break of dawn on October 24, 2014, 57-year old Google Executive Alan Eustace slowly rises into the air dangling below a helium balloon. This ascent is the culmination of three years of planning under an utmost secret mission which started as a scribble on a paper napkin. Eustace realized that as a private citizen you cannot merely walk into a store and buy a spacesuit. He determined that he would have to call upon the brightest minds in the country to pioneer a new technological invention in order to make his dream come true. documentary"
15,15 August,"comedy,romance,drama",2019,movie,1,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy. comedy,romance,drama"
16,1898: Our Last Men in the Philippines,"drama,history",2016,movie,0,"The Philippines, 1898. Fifty Spanish soldiers arrive in the small village of Baler to rebuild an outpost. Although the war against the Filipinos and their American allies is almost lost, as is the Spanish Empire, the garrison will endure a cruel siege for eleven months. They will be the last to surrender.","The Philippines, 1898. Fifty Spanish soldiers arrive in the small village of Baler to rebuild an outpost. Although the war against the Filipinos and their American allies is almost lost, as is the Spanish Empire, the garrison will endure a cruel siege for eleven months. They will be the last to surrender. drama,history"
17,18 Presents,drama,2020,movie,1,"Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year.","Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year. drama"
18,1920,"drama,horror,mystery,thriller,romance",2008,movie,0,"The year is 1920 and the house isolated in the wilderness has a secret. It is waiting for the curse to come true. For years, everyone who has bought the house and tried to pull it down has died of mysterious circumstances. It is like the house has a will and a life of its own.","The year is 1920 and the house isolated in the wilderness has a secret. It is waiting for the curse to come true. For years, everyone who has bought the house and tried to pull it down has died of mysterious circumstances. It is like the house has a will and a life of its own. drama,horror,mystery,thriller,romance"
19,1920 London,"horror,mystery",2016,movie,0,"Shivangi (Meera Chopra) lives in London with her husband Veer Singh. One day, he receives a gift from Rajasthan. From then, strange things happen with Veer and his condition deteriorates.","Shivangi (Meera Chopra) lives in London with her husband Veer Singh. One day, he receives a gift from Rajasthan. From then, strange things happen with Veer and his condition deteriorates. horror,mystery"
20,1922,"crime,drama,horror,mystery,thriller",2017,movie,1,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate. crime,drama,horror,mystery,thriller"
21,1 Mile To You,"drama,romance,sport",2017,movie,0,"After a teenager's friends die in an accident, he finds running allows him to remember them perfectly. Running, however, also brings him notoriety. He is caught between keeping the past alive and making new memories in the present.","After a teenager's friends die in an accident, he finds running allows him to remember them perfectly. Running, however, also brings him notoriety. He is caught between keeping the past alive and making new memories in the present. drama,romance,sport"
22,2012,"drama,action-and-adventure,thriller,science-fiction",2009,movie,0,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. drama,action-and-adventure,thriller,science-fiction"
23,2015 Dream Concert,No info,2015,movie,0,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium. No info"
24,20 Feet from Stardom,"documentary,history,biography,musical",2013,movie,0,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.","Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now. documentary,history,biography,musical"
25,20th Century Women,"comedy,drama",2016,movie,0,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.","In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing. comedy,drama"
26,21,"biography,crime,drama,history,thriller,mystery",2008,movie,0,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.","Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack. biography,crime,drama,history,thriller,mystery"
27,"2,215",documentary,2018,movie,0,"This documentary follows the marathon run led by Athiwara “Toon Bodyslam” Khongmalai to raise funds for Thailand’s public hospitals throughout the 55-day journey from Betong, Yala in Thailand’s deep south to northernmost district of Mae Sai, Chiang Rai.","This documentary follows the marathon run led by Athiwara “Toon Bodyslam” Khongmalai to raise funds for Thailand’s public hospitals throughout the 55-day journey from Betong, Yala in Thailand’s deep south to northernmost district of Mae Sai, Chiang Rai. documentary"
28,22 July,"drama,history,thriller,crime,mystery",2018,movie,1,"In Norway on 22 July 2011, right-wing terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utöya Island outside of Oslo. This three-part story will focus on the survivors of the attacks, the political leadership of Norway, and the lawyers involved.","In Norway on 22 July 2011, right-wing terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utöya Island outside of Oslo. This three-part story will focus on the survivors of the attacks, the political leadership of Norway, and the lawyers involved. drama,history,thriller,crime,mystery"
29,23:59,horror,2011,movie,0,"An army recruit was found dead during a 24km road march. After the death of the recruit, strange things started to happen, haunting all the soldiers in the barracks.","An army recruit was found dead during a 24km road march. After the death of the recruit, strange things started to happen, haunting all the soldiers in the barracks. horror"
30,24 Hours to Live,"thriller,action-and-adventure,science-fiction,mystery",2017,movie,0,An assassin seeks redemption after being given a second chance at life.,"An assassin seeks redemption after being given a second chance at life. thriller,action-and-adventure,science-fiction,mystery"
31,25 Kille,"drama,comedy",2016,movie,0,Four brothers receive news of an inheritance and must contend with an unscrupulous landowner to receive their birthright.,"Four brothers receive news of an inheritance and must contend with an unscrupulous landowner to receive their birthright. drama,comedy"
32,26 Years,"drama,thriller,mystery",2012,movie,0,"26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a shooter from the national team, a gang member, a policeman, CEO from a large company and director of a private security outfit get involved in a plan to convict the person responsible for the massacre.","26 years ago, state troops were ordered to open fire on civilians in the city of Gwangju who were demonstrating as apart of a democratic movement. Thousands of civilians were killed. Now, a shooter from the national team, a gang member, a policeman, CEO from a large company and director of a private security outfit get involved in a plan to convict the person responsible for the massacre. drama,thriller,mystery"
33,2 States,"comedy,drama,romance",2014,movie,0,"A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle.","A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle. comedy,drama,romance"
34,300 Miles to Heaven,"drama,biography",1989,movie,0,"Based on a true story dating back to 1985 when two Polish boys, a teenager and his little brother, escaped from communist Poland all the way to Sweden, hidden under a truck. In the movie, their destination has been changed to Denmark.","Based on a true story dating back to 1985 when two Polish boys, a teenager and his little brother, escaped from communist Poland all the way to Sweden, hidden under a truck. In the movie, their destination has been changed to Denmark. drama,biography"
35,3022,science-fiction,2019,movie,0,A group of astronauts living in the haunting emptiness of deep space awakens to find earth has suffered an extinction-level event.,A group of astronauts living in the haunting emptiness of deep space awakens to find earth has suffered an extinction-level event. science-fiction
36,30 Days of Luxury,No info,2016,movie,0,"With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub. No info"
37,365 Days,"drama,romance",2020,movie,0,"Laura, in order to save her relationship from falling apart, goes to Sicily, where she meets Massimo. A dangerous man, the head of a mafia family, kidnaps her and gives her 365 days to fall in love with him.","Laura, in order to save her relationship from falling apart, goes to Sicily, where she meets Massimo. A dangerous man, the head of a mafia family, kidnaps her and gives her 365 days to fall in love with him. drama,romance"
38,37 Seconds,drama,2019,movie,1,"In 37 Seconds, 23-year-old comic book artist Yuma, physically disabled due to profound cerebral palsy and emotionally stunted by her well-meaning but overly protective mother, forges her own unusual path to sexual awakening and independence while at the same time discovering love and forgiveness.","In 37 Seconds, 23-year-old comic book artist Yuma, physically disabled due to profound cerebral palsy and emotionally stunted by her well-meaning but overly protective mother, forges her own unusual path to sexual awakening and independence while at the same time discovering love and forgiveness. drama"
39,3 Generations,"drama,lgbtq,documentary,comedy",2016,movie,0,"A teenager transitions from female to male, and his family must come to terms with that fact.","A teenager transitions from female to male, and his family must come to terms with that fact. drama,lgbtq,documentary,comedy"
40,3 Heroines,"biography,sport,drama,history",2016,movie,0,"Indonesia 1988. The world prepares for the 24th Olympics in Seoul. Indonesian archery is in a critical point. It needs a coach who can prepare women archery team in a short time. The only thing that can be relied upon to is Donald Pandiangan (Reza Rahardian), but Donald had long disappeared. In 1980 while trying to follow the Moscow Olympics, he was canceled for political reasons. Now he lives far from archery. Besides the coach, the team must also be filled from the three best female athletes. They are Nurfitriyana (Bunga Citra Lestari), Lilies (Chelsea Islan) and Kusuma (Tara Basro).","Indonesia 1988. The world prepares for the 24th Olympics in Seoul. Indonesian archery is in a critical point. It needs a coach who can prepare women archery team in a short time. The only thing that can be relied upon to is Donald Pandiangan (Reza Rahardian), but Donald had long disappeared. In 1980 while trying to follow the Moscow Olympics, he was canceled for political reasons. Now he lives far from archery. Besides the coach, the team must also be filled from the three best female athletes. They are Nurfitriyana (Bunga Citra Lestari), Lilies (Chelsea Islan) and Kusuma (Tara Basro). biography,sport,drama,history"
41,3 Idiots,"comedy,drama",2009,movie,0,"In the tradition of “Ferris Bueller’s Day Off” comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.","In the tradition of “Ferris Bueller’s Day Off” comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all. comedy,drama"
42,3 Seconds Divorce,documentary,2018,movie,0,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights. documentary"
43,3 Türken und ein Baby,comedy,2015,movie,0,"The Yildiz brothers - Celal, Sami and Mesut - still live under one roof - despite their differences. The family bridal shop is doing really badly and they each yearn for a different life: Heartthrob Celal pines for his ex-girlfriend Anna and risks every last cent of their family inheritance for his dream of a mobile phone shop. Sami is searching for true love but ruins every blind date with his anger mis-management. And Mesut, the youngest of the three, tries to combine a cool music career with his strict adherence to the Koran. So when a sweet little baby comes careering into their lives, nothing is as it was before. The three young Turkish bachelors are given a crash course in responsibility.","The Yildiz brothers - Celal, Sami and Mesut - still live under one roof - despite their differences. The family bridal shop is doing really badly and they each yearn for a different life: Heartthrob Celal pines for his ex-girlfriend Anna and risks every last cent of their family inheritance for his dream of a mobile phone shop. Sami is searching for true love but ruins every blind date with his anger mis-management. And Mesut, the youngest of the three, tries to combine a cool music career with his strict adherence to the Koran. So when a sweet little baby comes careering into their lives, nothing is as it was before. The three young Turkish bachelors are given a crash course in responsibility. comedy"
44,40 Days and 40 Nights,"comedy,romance",2002,movie,0,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.","Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life. comedy,romance"
45,47 Meters Down,"horror,thriller,action-and-adventure,drama,mystery",2017,movie,0,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.","Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface. horror,thriller,action-and-adventure,drama,mystery"
46,48 Christmas Wishes,"family,action-and-adventure,comedy,fantasy",2017,movie,0,"Holiday magic has never gleamed brighter as Santa’s Elves head out on an adventure to bring every boy and girl their Christmas wish while also bringing a family back together in this heartfelt Christmas movie from Gaumont. After accidentally destroying a bag of Christmas wishes from a small town on the eve of Christmas Eve, two junior elves learn that if even one wish goes unfulfilled, Christmas could be extinguished forever. For the first time in their lives, the elves Mindy and Cam venture out of the North Pole and sneak into Minnedoza to collect the lost wishes. Along the way they enlist the help of young Blake, whose family has a difficult time celebrating Christmas since his father died. With their deadline fast approaching, Mindy and Cam have only one more wish to find…but whose could it be? It’s up to Mindy and Cam to find out and save Christmas!","Holiday magic has never gleamed brighter as Santa’s Elves head out on an adventure to bring every boy and girl their Christmas wish while also bringing a family back together in this heartfelt Christmas movie from Gaumont. After accidentally destroying a bag of Christmas wishes from a small town on the eve of Christmas Eve, two junior elves learn that if even one wish goes unfulfilled, Christmas could be extinguished forever. For the first time in their lives, the elves Mindy and Cam venture out of the North Pole and sneak into Minnedoza to collect the lost wishes. Along the way they enlist the help of young Blake, whose family has a difficult time celebrating Christmas since his father died. With their deadline fast approaching, Mindy and Cam have only one more wish to find…but whose could it be? It’s up to Mindy and Cam to find out and save Christmas! family,action-and-adventure,comedy,fantasy"
47,4 latas,"drama,comedy",2019,movie,0,"To find Joseba, a dying friend, and see him reunite with his daughter Ely, two old friends, Jean Pierre and Tocho, embark with her on a road trip through the Sahara desert, from Spain to Mali.","To find Joseba, a dying friend, and see him reunite with his daughter Ely, two old friends, Jean Pierre and Tocho, embark with her on a road trip through the Sahara desert, from Spain to Mali. drama,comedy"
48,4th Republic,thriller,2019,movie,0,"The story follows Ikechukwu Obiano, a young idealistic deputy campaign manager for industrialist Mabel King, who is competing against incumbent Governor Idris Sani in her bid to become the","The story follows Ikechukwu Obiano, a young idealistic deputy campaign manager for industrialist Mabel King, who is competing against incumbent Governor Idris Sani in her bid to become the thriller"
49,5 cm,"drama,action-and-adventure,romance",2012,movie,0,"Five close friends have been together since high school. They have stuck together throughout the years. One fateful day, they decided to take a three-month break and not communicate with each other in any shape or form. Their lives immediately took on different courses, with each pursuing their own dreams while holding on to the memories of their close friendship. When the agreed-upon break was up, the five met up with great enthusiasm, deciding to celebrate the event by going on a challenging and dream-filled adventure. A meaningful journey to raise the national flag on the highest peak of Java on August 17th, Indonesia's Independence Day. A journey filled with struggles that deepened their love for Indonesia. A journey for the sake of dreams, friendship and love, a journey of the heart that would forever transform their lives.","Five close friends have been together since high school. They have stuck together throughout the years. One fateful day, they decided to take a three-month break and not communicate with each other in any shape or form. Their lives immediately took on different courses, with each pursuing their own dreams while holding on to the memories of their close friendship. When the agreed-upon break was up, the five met up with great enthusiasm, deciding to celebrate the event by going on a challenging and dream-filled adventure. A meaningful journey to raise the national flag on the highest peak of Java on August 17th, Indonesia's Independence Day. A journey filled with struggles that deepened their love for Indonesia. A journey for the sake of dreams, friendship and love, a journey of the heart that would forever transform their lives. drama,action-and-adventure,romance"
50,5 Cowok Jagoan,"action-and-adventure,comedy",2017,movie,0,Yanto ask his friends to help him save his girlfriend that been kidnapped by a group of professional mobster.,"Yanto ask his friends to help him save his girlfriend that been kidnapped by a group of professional mobster. action-and-adventure,comedy"
51,5 Flights Up,"drama,comedy,documentary",2014,movie,0,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,"A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away. drama,comedy,documentary"
52,5Gang: A different kind of Christmas,"action-and-adventure,comedy",2019,movie,0,An old musician remembers his Christmas adventures from when he was a child.,"An old musician remembers his Christmas adventures from when he was a child. action-and-adventure,comedy"
53,5 Star Christmas,comedy,2018,movie,1,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal.","When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal. comedy"
54,6-5=2,"horror,thriller,action-and-adventure,mystery",2013,movie,0,Six friends plan for a trek to an undisclosed mountain in the Western Ghats.,"Six friends plan for a trek to an undisclosed mountain in the Western Ghats. horror,thriller,action-and-adventure,mystery"
55,68 Kill,"comedy,romance,thriller,crime,mystery",2017,movie,0,"Chip's problem is that he can't say no to beautiful women. This weakness gets him into a world of trouble when he agrees to help his girlfriend steal $68,000.","Chip's problem is that he can't say no to beautiful women. This weakness gets him into a world of trouble when he agrees to help his girlfriend steal $68,000. comedy,romance,thriller,crime,mystery"
56,6 Balloons,drama,2018,movie,1,"Over the course of one night, a woman drives across LA with her heroin addict brother in search of a detox center, with his two-year-old daughter in tow.","Over the course of one night, a woman drives across LA with her heroin addict brother in search of a detox center, with his two-year-old daughter in tow. drama"
57,6 Days,"action-and-adventure,drama,history,thriller,mystery",2017,movie,0,"London, England, April 1980. Six terrorists assault the Embassy of Iran and take hostages. For six days, tense negotiations are held while the authorities decide whether a military squad should intervene.","London, England, April 1980. Six terrorists assault the Embassy of Iran and take hostages. For six days, tense negotiations are held while the authorities decide whether a military squad should intervene. action-and-adventure,drama,history,thriller,mystery"
58,6 Underground,"action-and-adventure,thriller,comedy,mystery",2019,movie,1,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator. action-and-adventure,thriller,comedy,mystery"
59,6 Years,"drama,romance",2015,movie,0,"A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.","A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined. drama,romance"
60,706,"thriller,mystery",2019,movie,0,"Dr.Suman Asthana is a doctor, whose husband Anil Asthana is missing since last 11 days and investigating officer DCP Shekhawat is unable to find him. A psychic child patient revels the whereabouts of Dr.Anil and opens the doors of secrets.","Dr.Suman Asthana is a doctor, whose husband Anil Asthana is missing since last 11 days and investigating officer DCP Shekhawat is unable to find him. A psychic child patient revels the whereabouts of Dr.Anil and opens the doors of secrets. thriller,mystery"
